Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
175496,Lightning Charging Cable,1,14.95,04/11/19 09:11,"509 Jefferson St, Dallas, TX 75001"
175497,AA Batteries (4-pack),1,3.84,04/08/19 17:46,"941 Church St, Atlanta, GA 30301"
175498,AA Batteries (4-pack),1,3.84,04/23/19 23:44,"770 6th St, Atlanta, GA 30301"
175499,USB-C Charging Cable,1,11.95,04/22/19 22:50,"572 North St, Dallas, TX 75001"
175500,AA Batteries (4-pack),1,3.84,04/13/19 06:34,"361 14th St, San Francisco, CA 94016"
175501,27in 4K Gaming Monitor,1,389.99,04/08/19 20:19,"972 Madison St, Atlanta, GA 30301"
175502,Bose SoundSport Headphones,1,99.99,04/08/19 20:31,"124 11th St, San Francisco, CA 94016"
175503,USB-C Charging Cable,1,11.95,04/07/19 19:00,"693 14th St, Los Angeles, CA 90001"
175504,USB-C Charging Cable,1,11.95,04/18/19 19:29,"220 Cherry St, Dallas, TX 75001"
175505,Lightning Charging Cable,1,14.95,04/02/19 03:15,"634 North St, Austin, TX 73301"
175506,Lightning Charging Cable,1,14.95,04/10/19 11:22,"877 Pine St, Los Angeles, CA 90001"
175507,Apple Airpods Headphones,1,150.0,04/10/19 14:49,"531 11th St, Dallas, TX 75001"
175508,Apple Airpods Headphones,1,150.0,05/01/19 01:07,"527 Cherry St, Dallas, TX 75001"
175509,Macbook Pro Laptop,1,1700.0,04/26/19 11:13,"844 1st St, Austin, TX 73301"
175510,USB-C Charging Cable,1,11.95,04/02/19 19:12,"417 Jackson St, New York City, NY 10001"
175511,AA Batteries (4-pack),1,3.84,04/30/19 14:45,"102 Lake St, Dallas, TX 75001"
175512,Apple Airpods Headphones,1,150.0,04/12/19 19:35,"285 1st St, Dallas, TX 75001"
175513,Lightning Charging Cable,2,14.95,04/09/19 01:43,"612 6th St, Boston, MA 02215"
175514,Apple Airpods Headphones,1,150.0,04/24/19 19:53,"844 14th St, Boston, MA 02215"
175515,Bose SoundSport Headphones,1,99.99,04/01/19 10:42,"937 River St, Seattle, WA 98101"
175516,Lightning Charging Cable,1,14.95,04/28/19 15:36,"850 Adams St, Atlanta, GA 30301"
175517,AAA Batteries (4-pack),1,2.99,04/29/19 00:05,"514 Jackson St, Los Angeles, CA 90001"
175518,Wired Headphones,1,11.99,04/01/19 18:33,"501 Center St, Boston, MA 02215"
175519,Apple Airpods Headphones,1,150.0,04/09/19 11:53,"749 Cherry St, Atlanta, GA 30301"
,,,,,
175520,34in Ultrawide Monitor,1,379.99,04/04/19 07:52,"53 9th St, Los Angeles, CA 90001"
175521,Wired Headphones,1,11.99,04/08/19 08:16,"711 Spruce St, San Francisco, CA 94016"
175522,AA Batteries (4-pack),2,3.84,04/06/19 21:27,"263 Church St, Los Angeles, CA 90001"
175523,USB-C Charging Cable,1,11.95,04/30/19 22:38,"375 Madison St, Los Angeles, CA 90001"
175524,USB-C Charging Cable,1,11.95,04/11/19 23:44,"977 Chestnut St, Austin, TX 73301"
175525,Apple Airpods Headphones,1,150,04/21/19 00:58,"683 Forest St, San Francisco, CA 94016"
175526,AA Batteries (4-pack),1,3.84,04/25/19 08:00,"171 Forest St, San Francisco, CA 94016"
175527,Lightning Charging Cable,1,14.95,04/02/19 14:33,"106 Lincoln St, San Francisco, CA 94016"
175528,USB-C Charging Cable,1,11.95,04/02/19 12:30,"577 Meadow St, Seattle, WA 98101"
175529,Apple Airpods Headphones,1,150,04/04/19 07:43,"549 14th St, San Francisco, CA 94016"
175530,20in Monitor,1,109.99,04/06/19 21:48,"579 Elm St, Seattle, WA 98101"
175531,Lightning Charging Cable,2,14.95,04/24/19 06:55,"970 Jefferson St, Boston, MA 02215"
175532,USB-C Charging Cable,1,11.95,04/24/19 09:45,"56 Dogwood St, Atlanta, GA 30301"
175533,Lightning Charging Cable,1,14.95,04/08/19 09:51,"305 6th St, San Francisco, CA 94016"
175534,Wired Headphones,1,11.99,04/12/19 00:19,"89 South St, Los Angeles, CA 90001"
175535,AA Batteries (4-pack),2,3.84,04/08/19 20:38,"47 Lincoln St, Portland, OR 97035"
175536,USB-C Charging Cable,1,11.95,04/14/19 11:21,"857 5th St, Atlanta, GA 30301"
