Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
223914,Lightning Charging Cable,1,14.95,08/19/19 23:03,"905 5th St, Seattle, WA 98101"
223915,AAA Batteries (4-pack),1,2.99,08/03/19 02:30,"819 North St, Atlanta, GA 30301"
223916,20in Monitor,1,109.99,08/30/19 19:02,"197 Sunset St, New York City, NY 10001"
223917,USB-C Charging Cable,1,11.95,08/02/19 23:31,"206 Lake St, New York City, NY 10001"
223918,Wired Headphones,2,11.99,08/15/19 21:13,"984 North St, Los Angeles, CA 90001"
223919,Apple Airpods Headphones,1,150.0,08/11/19 18:11,"873 Cedar St, Los Angeles, CA 90001"
223920,AAA Batteries (4-pack),1,2.99,08/25/19 11:20,"593 Johnson St, Atlanta, GA 30301"
223921,AAA Batteries (4-pack),1,2.99,08/08/19 14:53,"577 Dogwood St, Boston, MA 02215"
223922,Bose SoundSport Headphones,1,99.99,08/15/19 19:39,"258 South St, Seattle, WA 98101"
223923,Bose SoundSport Headphones,1,99.99,08/07/19 18:19,"554 Willow St, San Francisco, CA 94016"
223924,Flatscreen TV,1,300.0,08/28/19 10:15,"642 12th St, San Francisco, CA 94016"
223925,iPhone,1,700.0,08/03/19 11:14,"829 13th St, Boston, MA 02215"
223926,Lightning Charging Cable,1,14.95,08/22/19 13:07,"736 Main St, Atlanta, GA 30301"
223927,Flatscreen TV,1,300.0,08/25/19 19:59,"805 Chestnut St, San Francisco, CA 94016"
223928,20in Monitor,1,109.99,08/21/19 17:15,"747 Johnson St, San Francisco, CA 94016"
223929,Wired Headphones,1,11.99,08/17/19 18:40,"544 West St, Los Angeles, CA 90001"
223930,Wired Headphones,1,11.99,08/19/19 21:56,"35 Adams St, San Francisco, CA 94016"
223931,AA Batteries (4-pack),1,3.84,08/11/19 01:54,"571 8th St, Los Angeles, CA 90001"
223932,AA Batteries (4-pack),1,3.84,08/15/19 16:30,"877 Hickory St, Austin, TX 73301"
223933,Bose SoundSport Headphones,1,99.99,08/02/19 14:07,"276 Cedar St, Seattle, WA 98101"
223934,Bose SoundSport Headphones,1,99.99,08/16/19 08:10,"483 13th St, New York City, NY 10001"
