Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
262421,Macbook Pro Laptop,1,1700,12/06/19 14:59,"9 14th St, San Francisco, CA 94016"
262422,Lightning Charging Cable,1,14.95,12/23/19 13:13,"165 Park St, Seattle, WA 98101"
262423,AA Batteries (4-pack),1,3.84,12/27/19 11:11,"867 North St, San Francisco, CA 94016"
262424,AA Batteries (4-pack),1,3.84,12/04/19 14:27,"38 11th St, San Francisco, CA 94016"
262425,Apple Airpods Headphones,1,150,12/14/19 23:23,"26 8th St, Atlanta, GA 30301"
262426,Wired Headphones,1,11.99,12/30/19 15:53,"579 11th St, Portland, OR 97035"
262427,USB-C Charging Cable,1,11.95,12/01/19 14:56,"60 8th St, Los Angeles, CA 90001"
262428,34in Ultrawide Monitor,1,379.99,12/05/19 19:44,"424 10th St, San Francisco, CA 94016"
262429,USB-C Charging Cable,1,11.95,12/28/19 08:50,"850 Adams St, San Francisco, CA 94016"
262430,Lightning Charging Cable,1,14.95,12/16/19 11:58,"73 Elm St, Seattle, WA 98101"
262431,Lightning Charging Cable,1,14.95,12/01/19 20:00,"129 Chestnut St, Los Angeles, CA 90001"
262432,Apple Airpods Headphones,1,150,12/27/19 19:27,"382 Elm St, San Francisco, CA 94016"
262433,iPhone,1,700,12/25/19 11:01,"315 8th St, Los Angeles, CA 90001"
262434,Apple Airpods Headphones,1,150,12/20/19 10:26,"995 Main St, Atlanta, GA 30301"
262435,AA Batteries (4-pack),1,3.84,12/15/19 12:09,"968 Elm St, San Francisco, CA 94016"
262436,Macbook Pro Laptop,1,1700,12/12/19 20:49,"736 West St, San Francisco, CA 94016"
262437,USB-C Charging Cable,1,11.95,12/27/19 07:54,"748 Hickory St, San Francisco, CA 94016"
262438,27in 4K Gaming Monitor,1,389.99,12/28/19 14:10,"659 Dogwood St, Boston, MA 02215"
262439,Apple Airpods Headphones,1,150,12/06/19 17:23,"938 Chestnut St, Boston, MA 02215"
262440,34in Ultrawide Monitor,1,379.99,12/14/19 17:40,"692 13th St, San Francisco, CA 94016"
262441,Lightning Charging Cable,1,14.95,12/18/19 08:00,"9 Spruce St, Austin, TX 73301"
262442,27in FHD Monitor,1,149.99,12/15/19 18:00,"917 Lakeview St, Atlanta, GA 30301"
262443,USB-C Charging Cable,1,11.95,12/11/19 20:47,"700 Johnson St, Boston, MA 02215"
262444,Wired Headphones,1,11.99,12/05/19 13:53,"960 14th St, Los Angeles, CA 90001"
262445,USB-C Charging Cable,1,11.95,12/04/19 20:54,"342 Church St, San Francisco, CA 94016"
262446,AA Batteries (4-pack),1,3.84,12/05/19 13:07,"601 Maple St, San Francisco, CA 94016"
262447,Bose SoundSport Headphones,1,99.99,12/25/19 21:02,"441 South St, Boston, MA 02215"
262448,27in FHD Monitor,1,149.99,12/26/19 22:40,"860 5th St, Dallas, TX 75001"
262449,Flatscreen TV,1,300,12/27/19 22:03,"440 Spruce St, Portland, OR 97035"
