Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
149044,Wired Headphones,1,11.99,02/05/19 19:29,"194 Maple St, Los Angeles, CA 90001"
149045,USB-C Charging Cable,1,11.95,02/19/19 12:56,"174 Pine St, Los Angeles, CA 90001"
149046,27in FHD Monitor,1,149.99,02/02/19 14:18,"112 Lincoln St, San Francisco, CA 94016"
149047,Wired Headphones,2,11.99,02/18/19 10:54,"286 Jackson St, San Francisco, CA 94016"
149048,Wired Headphones,1,11.99,02/26/19 08:09,"706 Cherry St, Austin, TX 73301"
149049,Wired Headphones,1,11.99,02/26/19 09:40,"695 Maple St, San Francisco, CA 94016"
149050,Wired Headphones,1,11.99,02/24/19 00:24,"891 Church St, Los Angeles, CA 90001"
149051,Lightning Charging Cable,1,14.95,02/10/19 23:24,"890 Cedar St, New York City, NY 10001"
149052,Wired Headphones,1,11.99,02/20/19 14:40,"367 Wilson St, Los Angeles, CA 90001"
149053,Wired Headphones,1,11.99,02/23/19 00:47,"414 9th St, New York City, NY 10001"
149054,Apple Airpods Headphones,1,150.0,02/22/19 21:39,"753 Elm St, Los Angeles, CA 90001"
149055,iPhone,1,700.0,02/21/19 15:26,"624 7th St, Los Angeles, CA 90001"
149056,AAA Batteries (4-pack),1,2.99,02/04/19 16:10,"199 Willow St, San Francisco, CA 94016"
149057,AA Batteries (4-pack),1,3.84,02/23/19 07:27,"96 North St, Boston, MA 02215"
149058,iPhone,1,700.0,02/03/19 12:16,"313 9th St, Boston, MA 02215"
149058,AA Batteries (4-pack),1,3.84,02/03/19 12:16,"313 9th St, Boston, MA 02215"
149059,AAA Batteries (4-pack),1,2.99,02/21/19 19:17,"358 Maple St, Portland, ME 04101"
149060,Wired Headphones,1,11.99,02/26/19 12:24,"705 Cherry St, Atlanta, GA 30301"
149061,AAA Batteries (4-pack),1,2.99,02/14/19 22:38,"737 Lincoln St, Boston, MA 02215"
149061,iPhone,1,700.0,02/14/19 22:38,"737 Lincoln St, Boston, MA 02215"
149062,AA Batteries (4-pack),2,3.84,02/21/19 09:11,"840 Center St, Atlanta, GA 30301"
149063,Flatscreen TV,1,300.0,02/13/19 20:41,"674 4th St, Boston, MA 02215"
149064,iPhone,1,700.0,02/08/19 19:56,"656 Pine St, New York City, NY 10001"
149065,AA Batteries (4-pack),1,3.84,02/26/19 17:12,"326 Adams St, Atlanta, GA 30301"
149066,USB-C Charging Cable,1,11.95,02/09/19 09:53,"88 South St, Atlanta, GA 30301"
149067,Bose SoundSport Headphones,1,99.99,02/23/19 11:41,"67 Sunset St, San Francisco, CA 94016"
149068,AA Batteries (4-pack),1,3.84,02/20/19 15:21,"79 South St, Boston, MA 02215"
149069,AAA Batteries (4-pack),1,2.99,02/15/19 15:54,"278 Church St, Boston, MA 02215"
149070,AAA Batteries (4-pack),1,2.99,02/24/19 21:07,"531 4th St, Dallas, TX 75001"
149071,27in 4K Gaming Monitor,1,389.99,02/04/19 17:18,"155 South St, Portland, OR 97035"
149072,27in 4K Gaming Monitor,1,389.99,02/10/19 11:58,"111 West St, New York City, NY 10001"
149073,Wired Headphones,1,11.99,02/15/19 17:30,"83 9th St, Los Angeles, CA 90001"
149074,Macbook Pro Laptop,1,1700.0,02/25/19 21:25,"831 South St, San Francisco, CA 94016"
149075,AAA Batteries (4-pack),1,2.99,02/22/19 22:45,"919 Lake St, San Francisco, CA 94016"
149076,iPhone,1,700.0,02/11/19 13:28,"306 Wilson St, San Francisco, CA 94016"
149077,34in Ultrawide Monitor,1,379.99,02/11/19 12:10,"670 Pine St, Portland, OR 97035"
149078,27in 4K Gaming Monitor,1,389.99,02/14/19 10:09,"929 14th St, Los Angeles, CA 90001"
149079,USB-C Charging Cable,1,11.95,02/18/19 12:59,"251 5th St, San Francisco, CA 94016"
149080,USB-C Charging Cable,1,11.95,02/25/19 14:44,"20 8th St, Boston, MA 02215"
149081,AAA Batteries (4-pack),3,2.99,02/03/19 16:50,"608 Ridge St, San Francisco, CA 94016"
149082,AA Batteries (4-pack),2,3.84,02/15/19 17:37,"95 North St, Seattle, WA 98101"
149083,Apple Airpods Headphones,1,150.0,02/28/19 17:33,"841 River St, Boston, MA 02215"
149084,Lightning Charging Cable,1,14.95,02/12/19 12:03,"559 Lincoln St, Boston, MA 02215"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
149085,27in 4K Gaming Monitor,1,389.99,02/09/19 20:01,"881 11th St, San Francisco, CA 94016"
149086,Google Phone,1,600,02/15/19 14:09,"596 North St, New York City, NY 10001"
149087,USB-C Charging Cable,1,11.95,02/15/19 17:35,"701 2nd St, Boston, MA 02215"
149088,Lightning Charging Cable,1,14.95,02/19/19 13:38,"92 6th St, Seattle, WA 98101"
149089,Lightning Charging Cable,1,14.95,02/01/19 12:56,"272 9th St, New York City, NY 10001"
149090,AA Batteries (4-pack),1,3.84,02/26/19 07:13,"499 9th St, Portland, OR 97035"
149090,iPhone,1,700,02/26/19 07:13,"499 9th St, Portland, OR 97035"
149091,Wired Headphones,1,11.99,02/27/19 13:40,"203 11th St, Boston, MA 02215"
149092,34in Ultrawide Monitor,1,379.99,02/12/19 17:51,"153 Cherry St, Boston, MA 02215"
149093,USB-C Charging Cable,1,11.95,02/19/19 12:50,"833 7th St, Atlanta, GA 30301"
149094,34in Ultrawide Monitor,1,379.99,02/15/19 09:53,"626 5th St, Seattle, WA 98101"
149095,AA Batteries (4-pack),1,3.84,02/12/19 11:29,"102 Adams St, Atlanta, GA 30301"
149096,AAA Batteries (4-pack),1,2.99,02/11/19 21:31,"188 Madison St, San Francisco, CA 94016"
149097,Google Phone,1,600,02/23/19 18:13,"539 Sunset St, San Francisco, CA 94016"
149098,iPhone,1,700,02/06/19 11:59,"637 Madison St, Boston, MA 02215"
149099,AA Batteries (4-pack),1,3.84,02/19/19 14:22,"814 14th St, Seattle, WA 98101"
149100,Apple Airpods Headphones,1,150,02/08/19 20:35,"919 Walnut St, Boston, MA 02215"
149101,USB-C Charging Cable,1,11.95,02/24/19 15:50,"569 Cherry St, San Francisco, CA 94016"
149102,AA Batteries (4-pack),1,3.84,02/11/19 13:44,"380 2nd St, Boston, MA 02215"
149103,AAA Batteries (4-pack),2,2.99,02/10/19 19:43,"49 Lincoln St, Dallas, TX 75001"
149104,AA Batteries (4-pack),1,3.84,02/14/19 11:34,"98 6th St, San Francisco, CA 94016"
149105,Wired Headphones,1,11.99,02/18/19 13:22,"539 Lakeview St, Portland, OR 97035"
149106,27in 4K Gaming Monitor,1,389.99,02/04/19 09:29,"571 Sunset St, Seattle, WA 98101"
149107,Apple Airpods Headphones,1,150,02/15/19 13:06,"478 11th St, Boston, MA 02215"
149108,Apple Airpods Headphones,1,150,02/26/19 17:24,"930 7th St, Los Angeles, CA 90001"
149109,Wired Headphones,1,11.99,02/19/19 14:40,"374 Ridge St, Boston, MA 02215"
149110,Wired Headphones,1,11.99,02/22/19 20:50,"467 River St, Los Angeles, CA 90001"
149111,Lightning Charging Cable,1,14.95,02/26/19 10:09,"810 Meadow St, New York City, NY 10001"
149112,Apple Airpods Headphones,1,150,02/06/19 18:31,"277 Maple St, Portland, ME 04101"
149112,27in FHD Monitor,1,149.99,02/06/19 18:31,"277 Maple St, Portland, ME 04101"
