Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Bose SoundSport Headphones,1,99.99,01/09/19 20:28,"135 Highland St, San Francisco, CA 94016"
141235,Google Phone,1,600.0,01/19/19 19:03,"270 Hickory St, New York City, NY 10001"
141235,Bose SoundSport Headphones,1,99.99,01/19/19 19:03,"270 Hickory St, New York City, NY 10001"
141236,AA Batteries (4-pack),1,3.84,01/26/19 21:42,"279 Center St, New York City, NY 10001"
141237,Wired Headphones,1,11.99,01/04/19 09:57,"653 Sunset St, Boston, MA 02215"
141238,AAA Batteries (4-pack),1,2.99,01/28/19 12:08,"811 Chestnut St, Boston, MA 02215"
141239,AAA Batteries (4-pack),1,2.99,01/05/19 18:51,"675 North St, Los Angeles, CA 90001"
141240,Lightning Charging Cable,1,14.95,01/14/19 19:45,"730 Lincoln St, Los Angeles, CA 90001"
141241,Macbook Pro Laptop,1,1700.0,01/10/19 21:50,"529 Main St, New York City, NY 10001"
141242,Wired Headphones,1,11.99,01/24/19 17:00,"542 Church St, San Francisco, CA 94016"
141243,34in Ultrawide Monitor,1,379.99,01/11/19 16:36,"72 14th St, Atlanta, GA 30301"
141244,AAA Batteries (4-pack),3,2.99,01/02/19 10:37,"779 Chestnut St, Seattle, WA 98101"
141245,Apple Airpods Headphones,1,150.0,01/13/19 22:42,"366 Spruce St, Los Angeles, CA 90001"
141246,Wired Headphones,1,11.99,01/09/19 23:33,"197 11th St, Boston, MA 02215"
141247,Wired Headphones,1,11.99,01/24/19 17:17,"953 1st St, San Francisco, CA 94016"
141248,Apple Airpods Headphones,1,150.0,01/07/19 19:31,"182 9th St, Dallas, TX 75001"
141249,USB-C Charging Cable,1,11.95,01/19/19 11:08,"493 5th St, Seattle, WA 98101"
141250,AA Batteries (4-pack),1,3.84,01/25/19 01:43,"787 5th St, New York City, NY 10001"
141251,Wired Headphones,1,11.99,01/15/19 12:14,"87 Jackson St, Dallas, TX 75001"
141252,Macbook Pro Laptop,1,1700.0,01/26/19 15:36,"354 Jackson St, San Francisco, CA 94016"
141253,Wired Headphones,2,11.99,01/19/19 12:47,"88 Hill St, San Francisco, CA 94016"
141254,Apple Airpods Headphones,1,150.0,01/14/19 17:23,"987 Dogwood St, Austin, TX 73301"
141255,Wired Headphones,1,11.99,01/19/19 14:44,"543 Center St, Boston, MA 02215"
141256,ThinkPad Laptop,1,999.99,01/20/19 13:31,"506 Center St, Boston, MA 02215"
141257,Apple Airpods Headphones,1,150.0,01/03/19 14:48,"619 Hill St, New York City, NY 10001"
141258,Apple Airpods Headphones,1,150.0,01/22/19 19:20,"991 Adams St, New York City, NY 10001"
141259,iPhone,1,700.0,01/29/19 14:17,"644 Center St, San Francisco, CA 94016"
141260,27in 4K Gaming Monitor,1,389.99,01/02/19 19:42,"58 Main St, Seattle, WA 98101"
141261,Bose SoundSport Headphones,1,99.99,01/17/19 06:59,"116 Lake St, New York City, NY 10001"
141262,AAA Batteries (4-pack),1,2.99,01/01/19 17:48,"978 Cherry St, San Francisco, CA 94016"
141263,Flatscreen TV,1,300.0,01/24/19 08:55,"888 Lincoln St, Los Angeles, CA 90001"
141264,Wired Headphones,1,11.99,01/20/19 13:09,"24 Jackson St, New York City, NY 10001"
141265,27in FHD Monitor,1,149.99,01/26/19 08:03,"603 Forest St, San Francisco, CA 94016"
141266,AAA Batteries (4-pack),1,2.99,01/01/19 08:44,"627 12th St, Portland, ME 04101"
141267,iPhone,1,700.0,01/21/19 13:11,"161 Highland St, New York City, NY 10001"
141268,iPhone,1,700.0,01/29/19 15:23,"331 4th St, San Francisco, CA 94016"
141269,Google Phone,1,600.0,01/03/19 17:01,"368 Spruce St, New York City, NY 10001"
141270,27in 4K Gaming Monitor,1,389.99,01/19/19 20:50,"50 Adams St, San Francisco, CA 94016"
141271,Lightning Charging Cable,1,14.95,01/14/19 18:56,"801 Highland St, Atlanta, GA 30301"
141272,Lightning Charging Cable,1,14.95,01/17/19 16:12,"923 Hickory St, Boston, MA 02215"
141273,Macbook Pro Laptop,1,1700.0,01/16/19 08:40,"314 Washington St, San Francisco, CA 94016"
141274,USB-C Charging Cable,1,11.95,01/08/19 17:50,"940 12th St, Portland, OR 97035"
141275,AAA Batteries (4-pack),2,2.99,01/22/19 09:06,"746 6th St, San Francisco, CA 94016"
141276,AA Batteries (4-pack),1,3.84,01/21/19 17:07,"842 9th St, San Francisco, CA 94016"
141277,AAA Batteries (4-pack),2,2.99,01/04/19 20:45,"901 Lincoln St, Austin, TX 73301"
141278,27in FHD Monitor,1,149.99,01/20/19 18:34,"41 12th St, New York City, NY 10001"
141279,Macbook Pro Laptop,2,1700.0,01/26/19 15:37,"629 Maple St, San Francisco, CA 94016"
141280,Wired Headphones,1,11.99,01/14/19 21:19,"58 13th St, Los Angeles, CA 90001"
141281,Lightning Charging Cable,1,14.95,01/18/19 17:51,"676 Madison St, Dallas, TX 75001"
141282,AAA Batteries (4-pack),1,2.99,01/09/19 10:51,"803 Chestnut St, Boston, MA 02215"
141283,20in Monitor,1,109.99,01/12/19 13:09,"85 12th St, San Francisco, CA 94016"
141284,Google Phone,1,600.0,01/16/19 20:40,"414 Adams St, San Francisco, CA 94016"
141285,AAA Batteries (4-pack),1,2.99,01/11/19 22:33,"946 Hickory St, San Francisco, CA 94016"
141286,USB-C Charging Cable,1,11.95,01/17/19 22:01,"86 Washington St, San Francisco, CA 94016"
141287,Wired Headphones,1,11.99,01/13/19 13:05,"5 Lake St, Atlanta, GA 30301"
141288,Lightning Charging Cable,1,14.95,01/01/19 19:25,"390 9th St, San Francisco, CA 94016"
141289,AAA Batteries (4-pack),1,2.99,01/11/19 06:26,"312 Johnson St, Los Angeles, CA 90001"
141290,27in 4K Gaming Monitor,1,389.99,01/22/19 21:18,"218 Elm St, Los Angeles, CA 90001"
141291,34in Ultrawide Monitor,1,379.99,01/23/19 12:08,"740 Highland St, Los Angeles, CA 90001"
141292,34in Ultrawide Monitor,1,379.99,01/08/19 22:17,"58 1st St, Los Angeles, CA 90001"
141293,USB-C Charging Cable,1,11.95,01/07/19 19:17,"824 2nd St, Boston, MA 02215"
141294,Wired Headphones,3,11.99,01/25/19 18:22,"917 Sunset St, Atlanta, GA 30301"
141295,Wired Headphones,1,11.99,01/19/19 18:39,"375 Lake St, San Francisco, CA 94016"
141296,Apple Airpods Headphones,1,150.0,01/27/19 22:20,"39 Washington St, San Francisco, CA 94016"
