Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
210721,Apple Airpods Headphones,1,150,07/05/19 18:54,"885 Church St, San Francisco, CA 94016"
210722,20in Monitor,1,109.99,07/02/19 10:33,"202 South St, San Francisco, CA 94016"
210723,iPhone,1,700,07/01/19 17:56,"457 Washington St, San Francisco, CA 94016"
210724,Lightning Charging Cable,1,14.95,07/17/19 15:24,"325 Adams St, Boston, MA 02215"
210725,AAA Batteries (4-pack),1,2.99,07/20/19 23:15,"890 Walnut St, Atlanta, GA 30301"
210726,USB-C Charging Cable,1,11.95,07/02/19 12:41,"378 10th St, San Francisco, CA 94016"
210727,iPhone,1,700,07/19/19 10:08,"759 West St, Portland, OR 97035"
210728,AA Batteries (4-pack),1,3.84,07/20/19 05:14,"25 7th St, San Francisco, CA 94016"
210729,Apple Airpods Headphones,1,150,07/07/19 15:40,"339 10th St, New York City, NY 10001"
210730,AA Batteries (4-pack),1,3.84,07/06/19 17:14,"34 14th St, San Francisco, CA 94016"
210731,ThinkPad Laptop,1,999.99,07/27/19 00:12,"297 Highland St, Los Angeles, CA 90001"
210732,Wired Headphones,1,11.99,07/20/19 00:51,"32 9th St, Dallas, TX 75001"
210733,AA Batteries (4-pack),1,3.84,07/25/19 23:55,"271 Sunset St, San Francisco, CA 94016"
210734,Wired Headphones,1,11.99,07/29/19 19:40,"948 West St, New York City, NY 10001"
210735,Apple Airpods Headphones,1,150,07/28/19 06:53,"708 Highland St, Seattle, WA 98101"
210736,USB-C Charging Cable,1,11.95,07/01/19 08:30,"410 10th St, San Francisco, CA 94016"
210737,AAA Batteries (4-pack),1,2.99,08/01/19 01:51,"610 Ridge St, Portland, OR 97035"
210738,Apple Airpods Headphones,1,150,07/08/19 09:27,"527 Willow St, Los Angeles, CA 90001"
210739,USB-C Charging Cable,1,11.95,07/31/19 21:41,"88 Highland St, Dallas, TX 75001"
210740,Lightning Charging Cable,1,14.95,07/12/19 17:23,"11 Willow St, San Francisco, CA 94016"
