Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
155294,Wired Headphones,2,11.99,03/10/19 12:56,"454 Lincoln St, Los Angeles, CA 90001"
155295,AAA Batteries (4-pack),1,2.99,03/11/19 12:08,"792 6th St, Austin, TX 73301"
155296,AA Batteries (4-pack),2,3.84,03/11/19 13:48,"483 Center St, Los Angeles, CA 90001"
155297,AA Batteries (4-pack),1,3.84,03/22/19 11:36,"957 8th St, Dallas, TX 75001"
155298,Vareebadd Phone,1,400.0,03/10/19 08:56,"831 Park St, San Francisco, CA 94016"
155299,USB-C Charging Cable,2,11.95,03/17/19 14:18,"883 9th St, Boston, MA 02215"
155300,Macbook Pro Laptop,1,1700.0,03/14/19 13:00,"837 Willow St, New York City, NY 10001"
155301,Bose SoundSport Headphones,1,99.99,03/10/19 03:32,"606 Center St, Austin, TX 73301"
155302,27in 4K Gaming Monitor,1,389.99,03/03/19 16:59,"494 Main St, New York City, NY 10001"
155303,Lightning Charging Cable,1,14.95,03/30/19 19:03,"491 Willow St, San Francisco, CA 94016"
155304,USB-C Charging Cable,1,11.95,03/01/19 14:53,"966 West St, Boston, MA 02215"
155305,AAA Batteries (4-pack),1,2.99,03/03/19 16:25,"676 Park St, San Francisco, CA 94016"
155306,AA Batteries (4-pack),1,3.84,03/09/19 00:59,"662 Pine St, Seattle, WA 98101"
155307,Bose SoundSport Headphones,1,99.99,03/02/19 22:59,"821 Jefferson St, Atlanta, GA 30301"
155308,Apple Airpods Headphones,1,150.0,03/12/19 14:42,"689 Madison St, Los Angeles, CA 90001"
155309,USB-C Charging Cable,1,11.95,03/30/19 22:05,"706 West St, San Francisco, CA 94016"
155310,USB-C Charging Cable,1,11.95,03/29/19 16:13,"543 River St, San Francisco, CA 94016"
155311,AA Batteries (4-pack),1,3.84,03/22/19 13:06,"859 Meadow St, Seattle, WA 98101"
155312,Wired Headphones,1,11.99,03/25/19 18:45,"270 Jackson St, Dallas, TX 75001"
155313,Bose SoundSport Headphones,1,99.99,03/07/19 14:35,"849 Washington St, San Francisco, CA 94016"
155314,34in Ultrawide Monitor,1,379.99,03/27/19 02:56,"96 Meadow St, San Francisco, CA 94016"
155315,AAA Batteries (4-pack),1,2.99,03/29/19 10:03,"643 2nd St, San Francisco, CA 94016"
155316,USB-C Charging Cable,1,11.95,03/21/19 11:59,"779 Meadow St, San Francisco, CA 94016"
155317,Wired Headphones,1,11.99,03/24/19 10:23,"156 Wilson St, Los Angeles, CA 90001"
155318,AAA Batteries (4-pack),1,2.99,03/04/19 18:31,"527 Dogwood St, San Francisco, CA 94016"
155319,USB-C Charging Cable,1,11.95,03/07/19 09:44,"518 Wilson St, New York City, NY 10001"
155320,Lightning Charging Cable,1,14.95,03/25/19 18:25,"228 Main St, Los Angeles, CA 90001"
155321,Macbook Pro Laptop,1,1700.0,03/22/19 02:41,"825 West St, Seattle, WA 98101"
155322,AAA Batteries (4-pack),1,2.99,03/24/19 17:56,"828 Washington St, Los Angeles, CA 90001"
155323,USB-C Charging Cable,1,11.95,03/18/19 23:27,"406 Willow St, Boston, MA 02215"
