Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
190478,Lightning Charging Cable,1,14.95,05/17/19 11:09,"28 Meadow St, San Francisco, CA 94016"
190479,AAA Batteries (4-pack),1,2.99,05/14/19 16:51,"568 8th St, New York City, NY 10001"
190480,Bose SoundSport Headphones,1,99.99,05/23/19 13:15,"588 Hill St, Los Angeles, CA 90001"
190481,Wired Headphones,1,11.99,05/03/19 14:56,"864 Cherry St, Dallas, TX 75001"
190482,Flatscreen TV,1,300.0,05/15/19 15:56,"153 Washington St, New York City, NY 10001"
190483,Flatscreen TV,1,300.0,05/05/19 09:19,"682 Pine St, New York City, NY 10001"
190484,Flatscreen TV,1,300.0,05/07/19 23:23,"624 Highland St, San Francisco, CA 94016"
190485,34in Ultrawide Monitor,1,379.99,05/27/19 10:19,"720 Johnson St, Los Angeles, CA 90001"
190486,Wired Headphones,1,11.99,05/02/19 16:18,"654 12th St, New York City, NY 10001"
190487,Apple Airpods Headphones,1,150.0,05/26/19 20:45,"430 5th St, Los Angeles, CA 90001"
190488,USB-C Charging Cable,1,11.95,05/20/19 09:51,"925 Pine St, Seattle, WA 98101"
190489,Google Phone,1,600.0,05/18/19 17:57,"944 River St, Los Angeles, CA 90001"
190490,Flatscreen TV,1,300.0,05/28/19 13:30,"191 Elm St, Boston, MA 02215"
190491,Lightning Charging Cable,1,14.95,05/29/19 01:22,"123 Hill St, San Francisco, CA 94016"
190492,AA Batteries (4-pack),1,3.84,05/03/19 11:46,"503 12th St, New York City, NY 10001"
190493,Google Phone,1,600.0,05/05/19 10:44,"918 2nd St, Los Angeles, CA 90001"
190494,Apple Airpods Headphones,1,150.0,05/12/19 01:34,"863 Jefferson St, New York City, NY 10001"
190495,USB-C Charging Cable,1,11.95,05/22/19 13:57,"884 Hickory St, Atlanta, GA 30301"
190496,Lightning Charging Cable,1,14.95,05/16/19 18:40,"240 Johnson St, New York City, NY 10001"
190497,Bose SoundSport Headphones,1,99.99,05/22/19 02:19,"805 Highland St, Atlanta, GA 30301"
