Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
243954,27in FHD Monitor,1,149.99,11/05/19 16:04,"864 Johnson St, San Francisco, CA 94016"
243955,AAA Batteries (4-pack),1,2.99,11/17/19 18:26,"953 Lincoln St, New York City, NY 10001"
243956,Wired Headphones,1,11.99,11/25/19 16:35,"878 Elm St, Los Angeles, CA 90001"
243957,Lightning Charging Cable,1,14.95,11/21/19 07:29,"603 Church St, Portland, ME 04101"
243958,AA Batteries (4-pack),1,3.84,11/20/19 20:57,"739 5th St, San Francisco, CA 94016"
243959,USB-C Charging Cable,1,11.95,11/28/19 18:18,"739 River St, Atlanta, GA 30301"
243960,Apple Airpods Headphones,1,150.0,11/05/19 00:29,"327 Jackson St, Atlanta, GA 30301"
243961,USB-C Charging Cable,1,11.95,11/20/19 21:38,"938 Lakeview St, Seattle, WA 98101"
243962,Lightning Charging Cable,1,14.95,11/14/19 10:07,"615 Jefferson St, Austin, TX 73301"
243963,Wired Headphones,1,11.99,11/25/19 21:50,"550 Main St, Dallas, TX 75001"
243964,USB-C Charging Cable,1,11.95,11/29/19 08:03,"810 Forest St, Dallas, TX 75001"
243965,Lightning Charging Cable,1,14.95,11/29/19 12:41,"204 Jackson St, Boston, MA 02215"
243966,Macbook Pro Laptop,1,1700.0,11/17/19 21:48,"895 Highland St, San Francisco, CA 94016"
243967,Lightning Charging Cable,1,14.95,11/17/19 21:34,"302 Chestnut St, New York City, NY 10001"
243968,USB-C Charging Cable,2,11.95,11/11/19 20:04,"348 Walnut St, Los Angeles, CA 90001"
243969,Apple Airpods Headphones,1,150.0,11/17/19 18:19,"157 Lincoln St, Seattle, WA 98101"
243970,Wired Headphones,1,11.99,11/24/19 08:41,"272 Spruce St, Boston, MA 02215"
243970,27in FHD Monitor,1,149.99,11/24/19 08:41,"272 Spruce St, Boston, MA 02215"
243971,Macbook Pro Laptop,1,1700.0,11/23/19 14:40,"289 6th St, San Francisco, CA 94016"
243972,AAA Batteries (4-pack),1,2.99,11/14/19 19:26,"587 Church St, Atlanta, GA 30301"
243973,USB-C Charging Cable,1,11.95,11/28/19 10:53,"506 Wilson St, Austin, TX 73301"
243974,Wired Headphones,2,11.99,11/06/19 19:08,"126 Cedar St, Atlanta, GA 30301"
243975,USB-C Charging Cable,1,11.95,11/12/19 12:15,"897 Park St, Austin, TX 73301"
243976,Flatscreen TV,1,300.0,11/28/19 20:52,"294 Willow St, Los Angeles, CA 90001"
243977,USB-C Charging Cable,1,11.95,11/30/19 16:43,"20 5th St, New York City, NY 10001"
243978,AAA Batteries (4-pack),3,2.99,11/04/19 07:19,"144 Center St, Seattle, WA 98101"
243979,Bose SoundSport Headphones,1,99.99,11/30/19 15:06,"336 Highland St, Seattle, WA 98101"
243980,Lightning Charging Cable,1,14.95,11/12/19 10:50,"230 West St, Los Angeles, CA 90001"
,,,,,
243981,Lightning Charging Cable,2,14.95,11/06/19 09:44,"981 Sunset St, New York City, NY 10001"
243982,Bose SoundSport Headphones,1,99.99,11/19/19 01:46,"490 6th St, New York City, NY 10001"
243983,AAA Batteries (4-pack),1,2.99,11/29/19 16:17,"718 Lake St, San Francisco, CA 94016"
243984,USB-C Charging Cable,1,11.95,11/12/19 16:40,"964 Highland St, New York City, NY 10001"
243984,27in 4K Gaming Monitor,1,389.99,11/12/19 16:40,"964 Highland St, New York City, NY 10001"
243985,Google Phone,1,600,11/30/19 17:22,"406 14th St, New York City, NY 10001"
243986,Macbook Pro Laptop,1,1700,11/17/19 09:52,"937 Pine St, Los Angeles, CA 90001"
243987,USB-C Charging Cable,1,11.95,11/01/19 16:42,"543 13th St, San Francisco, CA 94016"
243988,AA Batteries (4-pack),1,3.84,11/16/19 15:24,"286 Willow St, Los Angeles, CA 90001"
243989,Wired Headphones,1,11.99,11/24/19 13:21,"615 2nd St, San Francisco, CA 94016"
243990,Bose SoundSport Headphones,1,99.99,11/18/19 11:33,"177 11th St, Atlanta, GA 30301"
243991,Lightning Charging Cable,1,14.95,11/10/19 12:07,"967 South St, Los Angeles, CA 90001"
243992,Google Phone,1,600,11/18/19 15:35,"421 West St, San Francisco, CA 94016"
243993,Bose SoundSport Headphones,1,99.99,11/14/19 15:35,"305 12th St, Dallas, TX 75001"
243994,20in Monitor,1,109.99,11/03/19 21:38,"718 Church St, San Francisco, CA 94016"
243995,Vareebadd Phone,1,400,11/02/19 08:58,"801 Forest St, New York City, NY 10001"
243996,iPhone,1,700,11/20/19 06:51,"160 Maple St, San Francisco, CA 94016"
243997,ThinkPad Laptop,1,999.99,11/15/19 18:08,"164 Hill St, Austin, TX 73301"
243998,iPhone,1,700,11/16/19 11:42,"164 Johnson St, Boston, MA 02215"
243999,20in Monitor,1,109.99,11/02/19 15:38,"936 Spruce St, Los Angeles, CA 90001"
244000,USB-C Charging Cable,1,11.95,11/10/19 07:23,"219 Madison St, Seattle, WA 98101"
244001,AAA Batteries (4-pack),1,2.99,11/12/19 02:30,"931 Walnut St, San Francisco, CA 94016"
244002,AA Batteries (4-pack),2,3.84,11/23/19 14:18,"8 Pine St, Los Angeles, CA 90001"
244002,Lightning Charging Cable,1,14.95,11/23/19 14:18,"8 Pine St, Los Angeles, CA 90001"
244003,Wired Headphones,1,11.99,11/24/19 18:19,"301 7th St, Dallas, TX 75001"
