Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
241823,Lightning Charging Cable,1,14.95,10/26/19 20:45,"426 Main St, San Francisco, CA 94016"
241824,USB-C Charging Cable,1,11.95,10/31/19 16:20,"678 North St, San Francisco, CA 94016"
241825,34in Ultrawide Monitor,1,379.99,10/26/19 18:06,"671 Walnut St, San Francisco, CA 94016"
241826,34in Ultrawide Monitor,1,379.99,10/06/19 14:29,"166 Adams St, San Francisco, CA 94016"
241827,USB-C Charging Cable,1,11.95,10/06/19 09:54,"14 4th St, San Francisco, CA 94016"
241828,Wired Headphones,1,11.99,10/04/19 19:57,"533 Pine St, Seattle, WA 98101"
241829,Lightning Charging Cable,1,14.95,10/09/19 20:32,"127 Pine St, Boston, MA 02215"
241830,AA Batteries (4-pack),1,3.84,10/13/19 13:00,"76 Johnson St, New York City, NY 10001"
241831,Apple Airpods Headphones,1,150.0,10/21/19 13:10,"581 Highland St, Atlanta, GA 30301"
241832,Lightning Charging Cable,1,14.95,10/06/19 08:43,"689 Jackson St, Portland, OR 97035"
241833,Lightning Charging Cable,1,14.95,10/21/19 19:06,"556 Lincoln St, Seattle, WA 98101"
241834,Wired Headphones,1,11.99,10/08/19 19:36,"297 Lincoln St, Los Angeles, CA 90001"
241835,Bose SoundSport Headphones,1,99.99,10/24/19 18:32,"906 Maple St, Boston, MA 02215"
241836,Wired Headphones,1,11.99,10/25/19 23:37,"676 2nd St, Atlanta, GA 30301"
241837,AAA Batteries (4-pack),1,2.99,10/01/19 18:20,"202 Sunset St, Seattle, WA 98101"
241838,Wired Headphones,1,11.99,10/17/19 09:46,"58 11th St, Los Angeles, CA 90001"
241839,27in FHD Monitor,1,149.99,10/25/19 14:29,"824 Jackson St, San Francisco, CA 94016"
241840,Bose SoundSport Headphones,1,99.99,10/12/19 14:20,"483 Dogwood St, Los Angeles, CA 90001"
241841,USB-C Charging Cable,1,11.95,10/09/19 05:24,"942 Hickory St, Los Angeles, CA 90001"
241842,Lightning Charging Cable,2,14.95,10/01/19 20:21,"358 Madison St, Seattle, WA 98101"
241843,AA Batteries (4-pack),1,3.84,10/26/19 18:03,"933 8th St, San Francisco, CA 94016"
241844,20in Monitor,1,109.99,10/11/19 18:11,"159 14th St, San Francisco, CA 94016"
241845,Apple Airpods Headphones,1,150.0,10/18/19 10:56,"174 10th St, Los Angeles, CA 90001"
241846,Apple Airpods Headphones,1,150.0,10/16/19 14:23,"357 Park St, New York City, NY 10001"
241847,USB-C Charging Cable,1,11.95,10/25/19 15:49,"345 Hickory St, Boston, MA 02215"
241848,AA Batteries (4-pack),3,3.84,10/24/19 15:02,"275 Dogwood St, Dallas, TX 75001"
241849,AA Batteries (4-pack),1,3.84,10/06/19 13:20,"862 Jackson St, Dallas, TX 75001"
241850,Apple Airpods Headphones,1,150.0,10/18/19 08:11,"274 Jefferson St, Seattle, WA 98101"
241851,27in FHD Monitor,1,149.99,10/28/19 07:55,"740 Washington St, San Francisco, CA 94016"
241852,Bose SoundSport Headphones,1,99.99,10/26/19 17:32,"257 Cedar St, New York City, NY 10001"
241853,34in Ultrawide Monitor,1,379.99,10/30/19 16:33,"484 13th St, Dallas, TX 75001"
241854,Wired Headphones,1,11.99,10/01/19 15:47,"92 Hill St, Dallas, TX 75001"
241855,USB-C Charging Cable,2,11.95,10/17/19 17:13,"286 9th St, Los Angeles, CA 90001"
241856,iPhone,1,700.0,10/24/19 08:08,"618 Meadow St, San Francisco, CA 94016"
241857,AAA Batteries (4-pack),1,2.99,10/09/19 18:31,"557 7th St, Boston, MA 02215"
241858,AAA Batteries (4-pack),1,2.99,10/22/19 10:34,"402 Washington St, San Francisco, CA 94016"
241859,Wired Headphones,1,11.99,10/20/19 11:19,"396 Dogwood St, San Francisco, CA 94016"
241860,USB-C Charging Cable,2,11.95,10/25/19 21:45,"444 Lake St, Boston, MA 02215"
241861,USB-C Charging Cable,1,11.95,10/14/19 12:23,"89 9th St, San Francisco, CA 94016"
241862,AA Batteries (4-pack),1,3.84,10/29/19 09:06,"447 Ridge St, Boston, MA 02215"
241863,AA Batteries (4-pack),3,3.84,10/31/19 09:02,"326 Walnut St, Seattle, WA 98101"
241864,Wired Headphones,1,11.99,10/31/19 14:21,"156 Elm St, New York City, NY 10001"
,,,,,
241865,USB-C Charging Cable,1,11.95,10/08/19 20:09,"66 13th St, Boston, MA 02215"
241866,Apple Airpods Headphones,1,150,10/01/19 08:27,"279 Center St, San Francisco, CA 94016"
241867,ThinkPad Laptop,1,999.99,10/28/19 22:21,"553 Pine St, New York City, NY 10001"
241868,Wired Headphones,1,11.99,10/03/19 14:10,"126 North St, Los Angeles, CA 90001"
241869,AAA Batteries (4-pack),1,2.99,10/08/19 21:35,"967 Johnson St, Los Angeles, CA 90001"
241870,Lightning Charging Cable,1,14.95,10/24/19 21:35,"692 Park St, San Francisco, CA 94016"
241871,Google Phone,1,600,10/26/19 10:33,"883 Lakeview St, Portland, OR 97035"
241871,Wired Headphones,1,11.99,10/26/19 10:33,"883 Lakeview St, Portland, OR 97035"
241872,Wired Headphones,1,11.99,10/03/19 11:39,"441 Center St, San Francisco, CA 94016"
241873,ThinkPad Laptop,1,999.99,10/26/19 07:50,"244 Adams St, Austin, TX 73301"
241874,Apple Airpods Headphones,1,150,10/31/19 23:12,"7 Washington St, Austin, TX 73301"
241875,27in FHD Monitor,1,149.99,10/31/19 22:26,"534 1st St, San Francisco, CA 94016"
241876,27in FHD Monitor,1,149.99,10/07/19 07:56,"615 11th St, Portland, OR 97035"
241877,AA Batteries (4-pack),1,3.84,10/26/19 10:28,"874 Lakeview St, Dallas, TX 75001"
241878,USB-C Charging Cable,2,11.95,10/13/19 09:12,"17 Maple St, Boston, MA 02215"
241879,USB-C Charging Cable,1,11.95,10/31/19 11:47,"292 Spruce St, Portland, OR 97035"
241880,27in FHD Monitor,1,149.99,10/30/19 14:04,"381 Jackson St, Atlanta, GA 30301"
241881,Google Phone,1,600,10/30/19 15:18,"105 Willow St, Boston, MA 02215"
241882,20in Monitor,1,109.99,10/27/19 12:33,"842 Main St, Austin, TX 73301"
241883,Lightning Charging Cable,1,14.95,10/17/19 20:01,"219 Lincoln St, Boston, MA 02215"
241884,Google Phone,1,600,10/05/19 22:50,"795 Jackson St, Los Angeles, CA 90001"
241885,Vareebadd Phone,1,400,10/18/19 14:32,"571 11th St, Dallas, TX 75001"
241885,USB-C Charging Cable,1,11.95,10/18/19 14:32,"571 11th St, Dallas, TX 75001"
241886,27in FHD Monitor,1,149.99,10/08/19 10:45,"382 4th St, New York City, NY 10001"
241887,27in FHD Monitor,1,149.99,10/21/19 13:15,"669 Lakeview St, Los Angeles, CA 90001"
241888,AA Batteries (4-pack),1,3.84,10/14/19 20:02,"594 Cherry St, Seattle, WA 98101"
241889,Lightning Charging Cable,1,14.95,10/19/19 20:46,"391 West St, New York City, NY 10001"
241890,USB-C Charging Cable,1,11.95,10/04/19 23:55,"725 West St, Los Angeles, CA 90001"
241891,ThinkPad Laptop,1,999.99,10/09/19 18:05,"572 10th St, Portland, OR 97035"
241892,Wired Headphones,1,11.99,10/23/19 17:55,"278 Spruce St, Atlanta, GA 30301"
241893,Wired Headphones,1,11.99,10/11/19 09:12,"51 4th St, Boston, MA 02215"
241894,Flatscreen TV,1,300,10/03/19 14:57,"836 11th St, San Francisco, CA 94016"
241895,AA Batteries (4-pack),1,3.84,10/28/19 11:23,"886 Center St, San Francisco, CA 94016"
241896,27in 4K Gaming Monitor,1,389.99,10/20/19 21:00,"715 Meadow St, Boston, MA 02215"
241897,Wired Headphones,1,11.99,10/03/19 10:37,"694 9th St, Austin, TX 73301"
241898,Wired Headphones,1,11.99,10/05/19 13:22,"228 River St, New York City, NY 10001"
241899,Wired Headphones,1,11.99,10/10/19 01:11,"519 Washington St, Los Angeles, CA 90001"
241900,Flatscreen TV,1,300,10/13/19 15:09,"727 Highland St, Boston, MA 02215"
241901,AAA Batteries (4-pack),1,2.99,10/22/19 14:09,"358 14th St, New York City, NY 10001"
241902,iPhone,1,700,10/18/19 10:08,"465 Forest St, New York City, NY 10001"
241903,Apple Airpods Headphones,1,150,10/27/19 17:49,"245 Lincoln St, Austin, TX 73301"
241904,Wired Headphones,1,11.99,10/08/19 16:21,"235 2nd St, Boston, MA 02215"
241905,Lightning Charging Cable,1,14.95,10/28/19 22:55,"249 Adams St, Atlanta, GA 30301"
241906,Bose SoundSport Headphones,1,99.99,10/18/19 07:05,"534 North St, New York City, NY 10001"
241907,Lightning Charging Cable,1,14.95,10/10/19 15:41,"943 Lincoln St, Los Angeles, CA 90001"
241908,20in Monitor,1,109.99,10/20/19 20:47,"171 Cherry St, Los Angeles, CA 90001"
241909,USB-C Charging Cable,1,11.95,10/24/19 12:19,"557 Elm St, Los Angeles, CA 90001"
241910,AA Batteries (4-pack),1,3.84,10/30/19 13:47,"709 Chestnut St, San Francisco, CA 94016"
241911,Bose SoundSport Headphones,1,99.99,10/20/19 22:34,"11 Hill St, San Francisco, CA 94016"
,,,,,
