Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
232830,Wired Headphones,1,11.99,09/28/19 21:18,"76 10th St, New York City, NY 10001"
,,,,,
232831,Macbook Pro Laptop,1,1700,09/16/19 19:10,"615 Adams St, Seattle, WA 98101"
232832,AAA Batteries (4-pack),1,2.99,09/03/19 07:26,"749 4th St, Atlanta, GA 30301"
232833,iPhone,1,700,09/05/19 22:56,"338 Main St, Boston, MA 02215"
232833,Lightning Charging Cable,1,14.95,09/05/19 22:56,"338 Main St, Boston, MA 02215"
232833,Wired Headphones,1,11.99,09/05/19 22:56,"338 Main St, Boston, MA 02215"
232834,AA Batteries (4-pack),2,3.84,09/01/19 04:17,"634 Jefferson St, Portland, OR 97035"
232835,ThinkPad Laptop,1,999.99,09/05/19 07:53,"175 Forest St, Seattle, WA 98101"
232836,Wired Headphones,1,11.99,09/01/19 15:24,"722 Spruce St, Los Angeles, CA 90001"
232837,27in 4K Gaming Monitor,1,389.99,09/03/19 20:46,"955 South St, San Francisco, CA 94016"
232838,34in Ultrawide Monitor,1,379.99,09/30/19 18:37,"405 Park St, Boston, MA 02215"
232839,Bose SoundSport Headphones,1,99.99,09/25/19 08:00,"351 Park St, San Francisco, CA 94016"
232840,Flatscreen TV,1,300,09/06/19 17:09,"810 Chestnut St, Boston, MA 02215"
232841,AAA Batteries (4-pack),1,2.99,09/02/19 19:18,"98 1st St, San Francisco, CA 94016"
232842,Bose SoundSport Headphones,1,99.99,09/29/19 17:50,"289 1st St, Dallas, TX 75001"
232843,AAA Batteries (4-pack),1,2.99,09/14/19 13:40,"78 14th St, Boston, MA 02215"
232844,Bose SoundSport Headphones,1,99.99,09/04/19 19:41,"831 South St, San Francisco, CA 94016"
232845,USB-C Charging Cable,1,11.95,09/28/19 15:53,"504 Willow St, Atlanta, GA 30301"
232846,27in FHD Monitor,1,149.99,09/01/19 11:20,"42 Jefferson St, Austin, TX 73301"
232847,Wired Headphones,1,11.99,09/27/19 12:53,"906 Jackson St, Seattle, WA 98101"
232848,Macbook Pro Laptop,1,1700,09/18/19 15:09,"261 8th St, San Francisco, CA 94016"
232848,Google Phone,1,600,09/18/19 15:09,"261 8th St, San Francisco, CA 94016"
232849,Lightning Charging Cable,1,14.95,09/17/19 09:33,"743 Highland St, Portland, ME 04101"
232850,Lightning Charging Cable,2,14.95,09/06/19 17:43,"140 Jefferson St, Seattle, WA 98101"
232851,Lightning Charging Cable,2,14.95,09/23/19 13:16,"542 Ridge St, Los Angeles, CA 90001"
232852,AA Batteries (4-pack),2,3.84,09/09/19 17:58,"965 Ridge St, San Francisco, CA 94016"
232853,Bose SoundSport Headphones,1,99.99,09/30/19 15:23,"375 1st St, New York City, NY 10001"
232854,Bose SoundSport Headphones,1,99.99,09/24/19 20:37,"415 Walnut St, Los Angeles, CA 90001"
